,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
252,6.7065225,0.6583836,0.44898978,1.3753548,0.12628259,10.268009,34.29748,0.99810696,3.466453,0.646326,9.39722,6.075767,1265.8616
253,6.5831923,0.37691545,0.4559215,3.196979,0.11389661,5.933729,20.976397,0.9985495,3.4584,0.50944376,9.522943,6.229176,1274.2181
254,6.8825364,0.47664946,0.078788385,1.6639789,0.1141479,10.355689,77.5623,0.99842894,3.4338446,0.8141744,9.379092,5.3824263,1178.9766
255,6.7060623,0.47273597,0.4352887,1.2943398,0.107435726,19.600027,13.967583,0.9947752,3.169905,0.49916154,9.8711195,5.3790708,470.21667
256,9.691243,0.62752205,0.38310903,3.0973,0.072241694,24.891758,77.749,0.9985282,3.451856,0.7127479,9.71818,4.946753,805.01685
257,6.601239,0.400482,0.45831034,3.6422918,0.13286759,23.337456,15.687021,0.99763834,3.2765641,0.5743549,10.152289,5.7728004,1273.6045
258,6.6711407,0.42158857,0.45267808,3.78645,0.10497694,12.995899,32.94828,0.99858683,3.46615,0.52346504,9.452277,6.1291656,1254.7628
259,6.8460073,0.521569,0.24548972,1.4572682,0.1302749,25.856165,64.29035,0.9951639,3.183529,0.75340897,11.142124,4.8917904,423.19537
260,8.796068,0.3870914,0.3706639,2.2074368,0.10428196,24.572496,72.78659,0.9950459,3.382062,0.7205726,11.3829,4.867185,1117.8093
261,6.569178,0.51969814,0.45470774,1.5691484,0.078681394,6.134164,15.74493,0.99714,3.3735564,0.566038,9.528263,5.9594793,1134.1003
262,8.895129,0.6071753,0.2590168,3.271984,0.050222106,25.265345,77.28366,0.9985322,3.4629319,0.740432,9.975092,4.86993,1034.0022
263,7.2048044,0.4592592,0.44380748,2.2252524,0.07537445,6.71441,19.102583,0.99718684,3.317972,0.5850452,11.210539,5.777491,1147.2122
264,8.31535,0.70117146,0.10312688,1.2916003,0.11144343,18.317951,48.44078,0.9954447,3.1624048,0.6140206,11.479536,4.8809743,1123.8003
265,8.529095,0.7034413,0.45706132,3.8139682,0.10708455,24.511787,33.962128,0.9983481,3.3064518,0.49895245,11.36904,5.4212155,999.4816
266,9.922641,0.6543807,0.12523158,1.2794926,0.05653179,25.887167,72.6446,0.99529874,3.4547298,0.8098731,11.242853,4.8979664,665.91345
267,6.991304,0.35649037,0.41240114,1.5814362,0.12945932,14.9643955,15.634943,0.9964357,3.4065938,0.5127507,10.681151,6.4020243,1241.8206
268,6.574396,0.45885947,0.43152586,3.7483463,0.12251324,25.34521,17.780586,0.9983181,3.4556994,0.56916857,9.893184,5.836033,1245.3086
269,6.662378,0.52954566,0.45712113,3.7896495,0.10937291,25.521774,17.047989,0.9985622,3.4210548,0.57181555,10.79167,6.0173755,668.1734
270,6.6297646,0.70114905,0.4120921,3.7705517,0.12175117,11.266588,66.17634,0.9983001,3.436995,0.78129715,10.0619135,6.446677,1157.5619
271,6.7134156,0.35241655,0.4525153,3.7378204,0.121292464,5.4954834,14.102856,0.99859357,3.4669757,0.49099135,9.377332,6.4721518,1277.4233
272,9.952508,0.70945567,0.07096286,1.2149246,0.04176228,5.7181826,77.7497,0.9965362,3.4648376,0.82166034,9.452812,4.8583426,389.33008
273,6.6128182,0.3543397,0.39897114,3.6129124,0.08632367,9.312044,28.402876,0.99858165,3.4661775,0.74686,9.388077,6.280885,1222.0215
274,7.150429,0.6858256,0.36301416,3.4965646,0.051969923,23.932837,35.99127,0.9967464,3.1869893,0.70654577,10.949903,4.908804,881.84143
275,8.351565,0.35365427,0.4243078,2.1781406,0.13236612,6.568268,41.455963,0.99626124,3.451482,0.6421768,10.812287,6.0618534,516.06824
276,9.073254,0.65054744,0.45599988,1.6750433,0.12742834,22.438265,19.75528,0.99787563,3.4410615,0.49567142,10.920479,6.452551,749.8229
277,6.7135324,0.52604663,0.4534298,3.2619295,0.09797179,22.544159,54.758442,0.99849164,3.213792,0.5730812,11.139757,4.925864,1191.8256
278,8.344762,0.40420392,0.2587296,3.005451,0.116679594,15.753517,27.6588,0.99642736,3.395977,0.68701816,10.14705,5.1801143,782.9969
279,8.993752,0.42095417,0.4357104,3.6538522,0.065330654,24.579681,67.09089,0.9985169,3.4658473,0.66784614,11.356091,5.3281603,1265.7527
280,7.49758,0.40018097,0.43071872,3.7025642,0.12417771,25.400732,30.132881,0.99838746,3.4413717,0.59383816,10.968136,5.8419065,920.7675
281,9.885778,0.6925732,0.1867965,1.2497325,0.11072058,25.527727,76.80477,0.99585843,3.3551788,0.81981486,11.497699,4.837711,913.0708
282,6.723048,0.40290457,0.43343303,1.2697111,0.1283785,20.09242,20.96281,0.99478126,3.3796728,0.53812027,10.803924,4.895524,651.4741
283,7.123382,0.4699442,0.33617833,1.6476796,0.11689662,21.101933,48.48503,0.9951582,3.1813762,0.67935604,11.365795,4.855129,567.5416
284,6.6492214,0.47675356,0.4112525,2.447998,0.09238749,19.722954,17.95375,0.99720955,3.2402103,0.7963838,10.073166,5.24827,1272.1229
285,9.726615,0.58357036,0.08546771,2.9619184,0.10327841,6.9420385,74.118706,0.99855274,3.466225,0.8061382,9.366757,5.52606,507.113
286,9.065972,0.362386,0.22323269,1.3544128,0.13093315,8.068175,58.76078,0.9947974,3.2318113,0.60298824,11.443829,4.935079,531.3273
287,9.289612,0.70494604,0.17529841,1.2702458,0.10961751,15.848988,70.793465,0.9953856,3.2554803,0.8017268,10.527433,5.0192895,381.79617
288,6.627461,0.6109178,0.46045378,3.1094966,0.09763477,25.2984,31.83808,0.99858916,3.3783376,0.5002307,11.364588,5.3541603,1279.6467
289,6.7540693,0.36325124,0.4461117,3.8018067,0.04881977,5.4834023,67.94103,0.99859387,3.4670358,0.73273677,9.445826,6.429574,1252.2133
290,9.556974,0.62493384,0.45389017,3.7338867,0.054090474,25.908875,64.25963,0.99854577,3.251862,0.7569985,10.085825,5.3455086,1279.3113
291,7.3408556,0.42655548,0.20888755,1.4984934,0.12696221,10.95128,75.33431,0.99725777,3.4569418,0.78767306,10.721201,5.233054,1147.6418
292,8.610626,0.5431986,0.41913936,1.2308878,0.12106061,23.973162,14.660547,0.99490994,3.214847,0.506135,11.504328,5.167253,1108.2467
293,6.789281,0.35859162,0.45961362,1.3824774,0.066710316,25.433643,14.06196,0.9953296,3.2308106,0.4992656,10.068818,4.955199,1225.0432
294,7.170425,0.3821776,0.44809222,1.4753684,0.09788761,6.295821,15.647686,0.99493957,3.3365982,0.5721406,11.42107,5.438475,1028.4235
295,6.977232,0.6713785,0.45173422,2.635096,0.12326174,22.48261,74.870605,0.99675286,3.2717264,0.6763794,11.466747,4.8651056,1269.1661
296,6.5788927,0.45039514,0.4512943,2.6554873,0.12950473,24.984138,13.954304,0.9950515,3.1694658,0.55236375,9.432325,6.357395,1100.8303
297,8.710567,0.5421568,0.45615083,1.5106772,0.0723267,21.803776,72.32955,0.9960469,3.2034369,0.51693803,10.301738,4.9004335,1185.7578
298,6.577715,0.40285978,0.46038377,3.8208046,0.11481369,25.906784,14.033724,0.9985878,3.1878622,0.49851137,10.468364,6.3766346,1250.8025
299,6.658609,0.3585839,0.4425097,1.3513076,0.12703164,7.4393854,43.007896,0.9948464,3.447489,0.6193282,11.041467,5.232645,767.05493
300,6.654466,0.3766742,0.45699528,3.070411,0.06656652,14.368825,34.90486,0.99832165,3.3983865,0.49304882,10.073636,5.879545,1057.303
301,9.815163,0.7059882,0.22768258,1.3002557,0.06459514,24.5155,70.35952,0.99570805,3.1747355,0.7575076,11.498576,4.8395643,768.6324
302,9.930826,0.709111,0.07176572,2.733983,0.11301487,17.696474,67.72467,0.99507684,3.267649,0.8199748,10.157083,5.055908,355.31235
303,8.497414,0.5815052,0.3924026,2.0653408,0.13197349,23.110458,35.85782,0.99490106,3.3978863,0.6980497,11.473207,5.346305,462.6229
304,6.6302743,0.37036017,0.45169562,2.7025228,0.042867627,10.517695,17.58851,0.9976139,3.3712685,0.54017305,10.575503,5.9774575,1212.6879
305,6.987543,0.53839403,0.087902725,3.579677,0.103339545,21.14335,14.973383,0.997698,3.2224169,0.5914926,11.482295,5.472977,1267.9178
306,9.452185,0.56412125,0.32175615,1.3828788,0.06088269,17.044836,16.611782,0.99633926,3.2636409,0.5976992,10.007352,5.116318,1250.0685
307,7.185717,0.38263065,0.4538197,3.2529263,0.114628814,5.8825893,36.674076,0.9972893,3.4348865,0.68006086,9.492696,5.6324606,960.36835
308,7.215272,0.35246286,0.45894998,3.653579,0.092204206,6.8582354,14.292854,0.99857336,3.4609945,0.5917178,10.381213,6.270521,990.67316
309,6.674813,0.37893707,0.120491296,3.6877508,0.1306813,5.680584,70.64055,0.99752337,3.4046009,0.6403264,9.630848,5.127651,555.1785
310,8.015631,0.54626584,0.19287358,1.2976139,0.04345194,5.6287594,77.30415,0.99484915,3.4359157,0.7711441,9.650199,4.918601,422.2694
311,7.889293,0.6699564,0.31552935,2.1230052,0.039392427,7.931048,77.739914,0.99812835,3.4462292,0.8078057,9.684176,4.8377275,992.8674
312,6.815582,0.40923253,0.38833186,1.8266857,0.12460378,23.517561,14.657352,0.99538004,3.2044172,0.5441796,9.382068,6.3605423,627.80206
313,6.8276925,0.41935354,0.44942552,3.78438,0.111564845,6.501911,42.44032,0.9969736,3.4434073,0.70782197,9.664759,5.5479517,787.89484
314,6.588919,0.4247431,0.40246862,2.28685,0.1220456,20.04048,36.69205,0.9965793,3.2986512,0.729847,10.910888,4.9246364,1193.2257
315,8.521615,0.52967703,0.31533915,3.4761899,0.10894376,19.152308,77.05405,0.99743456,3.4645963,0.7755242,9.4117775,4.8931146,1183.3601
316,6.6219387,0.57611763,0.457396,3.6748843,0.12878744,16.704744,14.541328,0.9984857,3.4279137,0.49824533,10.873178,6.473383,1259.1467
317,8.201854,0.6961633,0.12699056,3.4878533,0.10012441,9.006714,48.992077,0.99789804,3.406856,0.7262004,11.239671,6.0377097,808.0814
318,7.163632,0.35230866,0.4537001,3.8227413,0.0543802,5.8676624,14.955099,0.99859595,3.4655535,0.5622964,9.36679,6.296093,1279.1729
319,6.845155,0.3521638,0.4462584,3.548695,0.13253842,6.2814245,16.872755,0.99854916,3.4618604,0.5426846,9.37511,6.1281295,1192.4438
320,7.01002,0.54000354,0.43931356,3.3745654,0.070709094,25.828709,58.561428,0.9977648,3.2568462,0.64651394,11.3102865,5.0810146,945.44324
321,8.1821995,0.66101897,0.40405247,1.3472264,0.044497076,24.846601,68.05663,0.99710065,3.361405,0.71091104,9.814273,4.886101,800.62317
322,8.2487135,0.5528314,0.42889312,2.1864064,0.11777724,25.393805,40.798904,0.99494797,3.3924384,0.5446221,11.342247,4.8823714,1059.0952
323,6.6982374,0.37500033,0.3355952,2.7464702,0.11186615,18.468922,69.99252,0.99676377,3.4362285,0.7861591,10.854225,4.839921,866.5292
324,7.603635,0.37463462,0.43799102,2.9778254,0.12512721,25.385157,55.83966,0.9962385,3.4014118,0.6829673,9.926159,6.1286564,816.7555
325,7.178139,0.69476646,0.115575,2.389642,0.12486411,25.504553,58.21556,0.99481434,3.163565,0.71270525,11.307296,4.93865,382.9628
326,7.842937,0.36732405,0.4582029,1.2459615,0.13248236,13.064398,14.412535,0.9948719,3.1693373,0.49379352,11.455755,4.9925094,765.417
327,6.785624,0.3716979,0.34279802,3.035427,0.09240859,24.970444,40.19224,0.9955012,3.3085694,0.6132096,9.49252,4.9677825,906.5934
328,6.597402,0.4871012,0.4570336,3.645793,0.0798725,24.65247,31.823246,0.99831027,3.3159623,0.521017,9.734367,5.3583474,1172.0988
329,7.146513,0.35913667,0.4512803,3.0001388,0.12265262,24.549479,15.427223,0.99795586,3.445481,0.53773046,10.073947,5.9385056,1156.4644
330,9.149953,0.70213836,0.19615078,1.8436955,0.06782946,17.53168,77.21985,0.9957915,3.2833104,0.7886931,11.500369,5.114549,1007.357
331,6.921942,0.35328797,0.44025144,3.8075204,0.06264989,8.6982975,14.098623,0.99859583,3.453443,0.49607414,9.392015,6.4668617,1280.1499
332,6.8799596,0.59449375,0.44814456,1.2399609,0.07339443,9.88278,65.15631,0.99561226,3.4347532,0.73307306,10.875953,4.903741,1256.0359
333,6.722003,0.7055533,0.2559218,3.7455456,0.06028254,14.700643,18.74392,0.9961239,3.163416,0.610885,10.653715,4.979377,490.6757
334,6.8365326,0.38427055,0.15476349,2.3041096,0.13183534,25.178364,67.509995,0.9971202,3.398822,0.74480313,9.935244,5.007637,1077.7025
335,9.9164915,0.4571548,0.07349524,1.239123,0.0969355,21.192238,77.71018,0.99602365,3.4558554,0.82012564,9.7634535,4.8450027,365.30325
336,9.004364,0.7096087,0.11553964,2.1763241,0.068683594,20.658848,76.96903,0.9984093,3.4603956,0.7935411,9.45366,5.0300136,890.24457
337,7.392436,0.54373854,0.40671384,1.2401077,0.086614735,18.85671,16.723923,0.995039,3.3029587,0.50402755,9.410299,5.7592473,1241.5039
338,6.5713873,0.40742838,0.4150733,1.8296041,0.050996255,25.633963,20.37808,0.9971221,3.1695619,0.68110305,10.850293,4.8505793,1268.4688
339,9.754289,0.5124585,0.17262173,1.8427716,0.08465574,21.977964,77.187225,0.99830973,3.3997862,0.8118929,10.684107,4.855761,610.10474
340,6.579595,0.35221177,0.45818177,2.4993427,0.10948371,7.556593,13.929916,0.9964394,3.4063525,0.49679515,9.972782,6.4135942,1047.7538
341,8.150103,0.39379287,0.34663224,1.2934049,0.1290944,14.723912,59.231033,0.9948602,3.312491,0.631627,10.817142,4.8714404,1099.946
342,9.498859,0.6945106,0.07627365,1.5196965,0.13310269,25.85804,77.7156,0.9968828,3.278617,0.66052043,11.365115,6.1693935,1086.6508
343,9.791094,0.70050776,0.072367445,1.3956095,0.12015466,25.900223,77.583824,0.99713117,3.4226413,0.81455225,9.831783,4.88647,1024.7139
344,6.613675,0.3595612,0.32640103,3.4236956,0.07939119,6.472028,71.29762,0.9985373,3.448827,0.75604534,9.36693,5.1829166,1244.327
345,6.6758823,0.5606687,0.24130474,3.385672,0.05552123,25.797865,38.80775,0.9981186,3.1802475,0.7636312,9.931822,4.83821,1276.8759
346,6.759236,0.61633646,0.1710811,1.6242788,0.122289546,24.445597,32.289047,0.994872,3.169094,0.61219543,11.356404,4.9056716,500.59625
347,6.810276,0.6274009,0.31564975,2.620718,0.12923627,25.877129,14.503937,0.99552494,3.1631498,0.52555114,11.246287,5.142297,1118.3485
348,6.635686,0.63181174,0.31462026,1.2852255,0.107131936,22.451439,50.755875,0.9985398,3.2533095,0.717506,9.553405,4.8721485,1279.9596
349,9.810296,0.58842367,0.1708002,2.7170722,0.086412616,25.867678,65.73966,0.99478054,3.1632838,0.7947979,11.4639435,4.854724,353.32416
350,9.78845,0.5506416,0.26447743,1.5254086,0.070137665,20.896046,76.761246,0.9948448,3.2394712,0.80514616,11.475442,4.859643,661.5194
351,7.848891,0.5479713,0.31885052,2.1948214,0.08885224,23.68621,77.473885,0.99734116,3.4584227,0.7227783,10.480795,5.4452634,1015.7906
352,6.661896,0.6089724,0.35155624,1.3301182,0.10747402,20.371717,30.238567,0.99728405,3.2460513,0.75266635,10.657997,5.1873217,1102.9038
353,7.6413484,0.36780953,0.40230176,1.6058469,0.07859765,7.6946297,68.962326,0.9985701,3.4565113,0.7334762,9.410567,4.9113765,1257.6614
354,8.384649,0.6607382,0.4536097,2.5792072,0.0497038,9.382728,76.5861,0.9959754,3.4650054,0.7917735,10.669807,5.030336,724.65155
355,7.633606,0.496119,0.41556358,3.4720027,0.11189221,25.322496,16.303576,0.9982263,3.1895406,0.50443834,11.498167,6.2485085,1194.4021
356,6.5946503,0.57184213,0.3184762,3.2308543,0.095700674,25.33825,30.078392,0.9983931,3.2289662,0.59487313,11.315301,5.3187733,1240.285
357,9.469858,0.6032956,0.34465384,1.7729588,0.1104822,25.86697,76.99882,0.99766845,3.4163725,0.80316573,11.504522,4.857201,471.69232
358,6.6866546,0.67653733,0.43209946,3.8005545,0.11951382,25.074472,15.174236,0.997915,3.1645825,0.5160271,11.234514,4.9339843,1213.2667
359,8.416025,0.44411328,0.38001055,1.2913637,0.12926026,21.339106,30.545183,0.9948153,3.1636474,0.5879282,11.461971,4.857846,425.29733
360,7.2158723,0.6751162,0.38499078,1.3766624,0.106803335,13.229358,44.617886,0.99479294,3.1745965,0.52463764,11.449534,4.9077277,731.3729
361,6.6343813,0.3588142,0.44702646,1.3654178,0.13350308,6.1688347,16.683481,0.99528843,3.4616683,0.50950164,9.634552,6.427337,412.55142
362,8.079143,0.5401489,0.43287176,1.3338141,0.11693733,16.158047,47.559986,0.9955086,3.1629329,0.67138803,11.464167,4.870111,660.39264
363,6.6263514,0.6715546,0.43207797,3.80658,0.12849486,25.189238,28.205112,0.9959443,3.4390118,0.7491053,9.791657,5.4994392,446.197
364,7.546107,0.6009121,0.40449822,3.049344,0.12044212,24.219595,69.01808,0.99736565,3.3927405,0.725873,10.333515,4.889424,606.03564
365,6.774699,0.40895885,0.4410561,2.8759887,0.12723757,23.587181,67.91701,0.99504644,3.4522824,0.75094074,11.472538,4.979716,994.77734
366,6.668329,0.6357856,0.43059412,3.7401793,0.050527804,21.310501,24.027302,0.9967352,3.2067187,0.52042997,11.05934,5.161892,1128.3075
367,8.655754,0.40130943,0.42978,1.5053195,0.09519972,24.933573,21.849043,0.99480516,3.20195,0.6441799,11.45195,5.031749,377.8061
368,8.270079,0.70202667,0.34744248,1.2753052,0.09067319,6.454134,68.16288,0.99480736,3.3051047,0.552527,11.396649,4.905554,910.2159
369,9.880302,0.7059296,0.073920324,1.2281921,0.043242857,25.393232,77.43207,0.99796724,3.291266,0.81540024,10.918366,4.8430114,1031.6882
370,8.181223,0.36039457,0.44365773,3.2750537,0.105178006,10.963061,14.049126,0.9960841,3.3824131,0.51370424,10.237968,6.2584705,694.76526
371,7.356441,0.6621904,0.36407065,2.517348,0.13152255,24.940811,14.796427,0.9948132,3.2914166,0.51497525,11.235779,5.7172256,462.28592
372,6.581227,0.5760117,0.34960622,3.7366664,0.09871988,15.194532,22.962503,0.9968859,3.1773987,0.5430632,9.79814,5.8139057,827.779
373,9.645415,0.7046768,0.3449185,2.1824493,0.10040278,13.016841,76.762695,0.996371,3.2244074,0.81709766,11.41393,5.169177,998.23553
374,6.705961,0.3756251,0.35126027,1.8768775,0.1216334,9.401651,42.602062,0.9973532,3.4571908,0.6072508,11.105202,5.997547,1266.7384
375,7.9884734,0.5620422,0.457994,1.2723076,0.1219765,10.710484,16.481173,0.9954132,3.2042491,0.50822514,11.5121355,4.862342,1274.6189
376,9.8451605,0.69581294,0.32582018,1.5937802,0.118611075,25.554466,77.38916,0.997626,3.1695783,0.7242343,11.511958,5.46322,1178.9208
377,7.2377977,0.3732305,0.30882972,3.430842,0.044413306,5.4769487,66.77295,0.99859166,3.467001,0.75791353,9.368827,6.212119,1180.813
378,7.4317594,0.60266817,0.4542614,2.7301183,0.10190022,25.58733,44.916096,0.99542654,3.1667607,0.5522455,9.942986,4.87842,1091.2964
379,7.992617,0.61565185,0.13844845,1.4419411,0.07704241,13.100242,76.605545,0.9951502,3.2916348,0.8133912,10.782523,4.9621944,939.17285
380,6.579464,0.3725456,0.44843486,3.704053,0.1333636,14.034913,43.845028,0.9976543,3.4574473,0.5564044,9.869695,5.8552203,1217.709
381,6.8910885,0.40786436,0.28361702,3.6524975,0.10909609,21.175264,20.348871,0.99852955,3.4300995,0.6549848,9.929406,5.575776,1256.5138
382,7.035054,0.66992456,0.34369236,3.74519,0.12011285,17.906399,55.22965,0.9959207,3.4296596,0.7242461,11.396905,5.115663,710.6218
383,7.092753,0.65048784,0.23005371,2.1466777,0.06403074,8.098192,73.34498,0.998559,3.374452,0.81549877,9.435266,5.056607,1252.9648
384,6.9655733,0.37925005,0.43113008,2.326913,0.12980692,5.7116528,75.40619,0.9976731,3.385623,0.72268176,9.445834,4.885612,561.981
385,7.012051,0.63425785,0.38374227,2.7798314,0.11326164,25.922632,66.14551,0.9951934,3.1696985,0.5379425,11.460912,4.852684,557.0465
386,7.0034423,0.45220456,0.336234,3.7138202,0.11156839,25.382544,54.94433,0.9981742,3.462179,0.630527,9.376542,5.5781326,851.043
387,6.745488,0.38048637,0.42775828,1.7531947,0.13152273,7.250991,43.827522,0.99686605,3.4639986,0.63685817,9.567041,6.1717105,1068.0929
388,6.6512012,0.38897362,0.4301403,1.96951,0.13193592,19.75258,16.934061,0.99526566,3.327495,0.50217277,11.196725,6.2174134,921.8693
389,8.680239,0.3637417,0.32537213,1.414152,0.10763787,7.626729,63.105495,0.99760896,3.4427497,0.74160564,9.515028,5.0674105,889.062
390,7.6532154,0.69075793,0.22052373,1.4422164,0.07904372,21.320478,42.398983,0.99558544,3.1828442,0.67199653,11.316951,5.9564857,488.59387
391,6.753224,0.6345305,0.23454298,1.4249865,0.09062002,22.904226,72.13181,0.9950271,3.218653,0.72148484,11.390122,4.8658576,662.2302
392,7.664033,0.6877388,0.14193152,3.6045156,0.1270315,20.024769,40.850945,0.99566656,3.1825004,0.7848054,11.389541,5.1860557,513.66895
393,6.6227126,0.62242687,0.09338285,3.6950674,0.06562224,16.376247,77.63635,0.998594,3.467028,0.82111305,9.365316,4.846285,1276.9877
394,8.333541,0.5249434,0.095927775,1.2555279,0.13336107,10.047949,74.85405,0.995123,3.3133729,0.6662973,10.999415,5.1675696,920.3755
395,9.44695,0.40965995,0.18252523,1.2275265,0.12455713,25.806871,73.61862,0.9964836,3.3765597,0.7844627,10.901381,4.8382816,736.14557
396,6.9730234,0.65392375,0.44154245,3.6455863,0.068674795,24.304499,49.46324,0.99853283,3.4319751,0.53260255,9.440316,6.2109623,1278.8191
397,6.564536,0.41460145,0.45588297,3.682365,0.0859542,22.463081,47.382187,0.99859136,3.4654052,0.5888248,9.37352,6.399944,1269.0068
398,6.739266,0.53542805,0.38670316,3.0760002,0.12952797,14.456383,34.163944,0.9965843,3.2356484,0.7170518,10.299995,5.229732,967.6419
399,7.8233614,0.5806549,0.37290227,2.1100106,0.12135484,10.999514,14.923981,0.9951334,3.2603207,0.65534794,11.424931,6.2766447,727.4583
400,6.8519907,0.3921976,0.26211292,3.3208456,0.10086162,10.402462,43.242863,0.9972064,3.4644578,0.6736516,9.597986,5.4684477,1259.0552
401,7.3082995,0.4791374,0.45250127,3.3372986,0.09637811,22.568995,61.474903,0.9963274,3.311232,0.5569464,11.025509,5.201528,598.9252
402,6.646629,0.35802108,0.46054873,3.813091,0.08765502,20.60812,14.016039,0.99856764,3.4228635,0.5027632,9.818516,6.432865,1240.6659
403,6.563306,0.4042166,0.45807084,3.3147266,0.10586865,22.074928,55.29776,0.99857926,3.188392,0.53363365,9.916028,5.3856344,1275.3258
404,6.604845,0.37448856,0.46029744,3.657823,0.074022084,14.518987,19.273808,0.9985786,3.4353175,0.5004038,10.016912,5.921261,1276.8779
405,9.172444,0.687863,0.08193776,1.2351956,0.111850254,24.339806,77.36455,0.99606717,3.218372,0.79558784,11.205138,4.8666906,1025.381
406,7.139068,0.6300274,0.42208707,2.2995882,0.11408823,24.401434,15.072744,0.9956792,3.172633,0.52420634,11.412461,5.3671904,1025.168
407,9.458874,0.6541317,0.39291993,1.4934399,0.06895255,16.562822,19.870201,0.9950357,3.2031162,0.62237,11.501571,4.9622984,1000.074
408,8.402281,0.54805094,0.3935273,2.682652,0.12964706,24.771772,68.53079,0.995455,3.4641323,0.5625612,11.471095,5.6994534,764.5397
409,6.9590583,0.5756852,0.36249185,1.2598602,0.09492974,21.614388,42.90457,0.99617165,3.1649897,0.50341237,11.221436,4.8550024,1268.61
410,9.949053,0.4084826,0.09820832,1.2246988,0.12186365,22.64299,77.56845,0.9948299,3.3342736,0.80904394,11.51014,4.839446,719.44995
411,6.6465144,0.37959713,0.45827398,1.4115562,0.12322069,18.216759,17.041283,0.99544036,3.3689559,0.5008614,11.152799,5.798766,381.2132
412,9.540019,0.6980723,0.4004328,2.1765547,0.11367073,7.0394955,76.61209,0.9953204,3.4532518,0.76354885,11.38057,5.1465387,993.97125
413,7.6198616,0.6848653,0.25098613,3.2355185,0.12648934,25.64915,74.53418,0.9976241,3.235266,0.5540903,11.132305,4.8667216,1196.7236
414,8.542826,0.6953111,0.1034088,3.4027436,0.1255816,23.697033,75.58291,0.99838704,3.2670264,0.8127993,10.881958,4.864464,636.6042
415,6.8386903,0.45134318,0.20191082,2.2681627,0.12586859,24.562498,41.339645,0.9979281,3.204624,0.554595,9.430722,5.591732,1071.7126
416,6.86733,0.39722055,0.45778078,3.6400256,0.113608554,18.9629,15.99951,0.9969876,3.4516323,0.6515043,11.509176,5.6241283,960.5112
417,9.406578,0.5019045,0.2139287,1.9975284,0.06566935,23.23216,76.291084,0.99853367,3.2546628,0.7350846,11.486646,4.8380423,1274.9236
418,7.766002,0.4602931,0.40406954,2.92222,0.062207792,5.548664,23.41677,0.9979723,3.4664667,0.63528705,9.390951,5.898321,1171.0182
419,6.648397,0.3582537,0.4218926,3.7825048,0.06080126,22.220749,62.87792,0.9985912,3.4640083,0.670386,9.366289,4.862632,1275.0941
420,9.872077,0.6803348,0.097280025,1.2157073,0.10859204,9.78019,77.457886,0.9953829,3.2998986,0.80140805,11.07865,4.871536,400.81964
421,9.571408,0.44124335,0.12783812,1.3943629,0.1122011,25.684092,73.14371,0.9948191,3.163049,0.80985606,11.445663,4.8621755,486.13986
422,6.68245,0.41437292,0.4570065,3.0623596,0.10534302,17.363243,14.106722,0.997585,3.447868,0.5311444,10.416736,6.1356387,533.43256
423,7.3761997,0.41820148,0.117503434,1.2299881,0.114034094,17.1441,77.038506,0.9952607,3.2303464,0.7769882,11.375945,4.9491735,1103.4154
424,6.574785,0.50891757,0.45677394,3.8232827,0.039721012,24.245876,14.194477,0.99852824,3.1697423,0.5015074,9.467435,6.082467,1264.5634
425,7.553663,0.70038563,0.3263473,1.824376,0.07157974,15.901269,72.853676,0.996036,3.2926228,0.69039285,10.647286,4.906317,1253.3947
426,8.013454,0.66753846,0.13423926,1.2568341,0.08241779,20.16483,66.01884,0.9962077,3.2686324,0.7662293,11.448561,4.880994,679.4482
427,9.076115,0.67275447,0.09152603,3.594439,0.10425618,25.84402,77.67816,0.9980883,3.392461,0.81728417,10.715884,4.8403597,1017.39325
428,8.366911,0.46311793,0.3185473,1.2523018,0.105772644,8.182813,74.3502,0.99821395,3.3619895,0.76208735,9.44284,5.8986025,1172.3872
429,9.6825485,0.6112223,0.30571693,2.2365363,0.07246564,22.93991,63.30856,0.9960602,3.4270885,0.7585844,11.404212,4.988677,486.22836
430,6.98893,0.3909949,0.4584722,3.2188356,0.1049846,17.956066,13.999228,0.99493366,3.1725476,0.5147037,11.299531,5.950602,643.5072
431,7.9224033,0.35983956,0.26199988,1.6136398,0.07340155,5.4838657,77.55104,0.99818856,3.4662325,0.7863161,9.401215,4.8855042,505.6101
432,7.879238,0.5428105,0.2813064,2.3503098,0.071555614,23.27846,62.141525,0.99621224,3.3006637,0.7578999,9.827841,4.921936,780.94104
433,9.554458,0.55490226,0.15241788,1.4289258,0.11126407,25.796858,75.951454,0.9948625,3.288411,0.806583,11.460409,4.8730454,438.2901
434,9.95325,0.4516668,0.07557163,1.2418365,0.041260254,9.582204,77.749176,0.9984544,3.4662783,0.8205609,9.391274,4.842536,567.5938
435,8.365417,0.682291,0.4059042,2.2420359,0.08542397,8.123209,70.92802,0.9969534,3.2382803,0.7271992,11.107303,4.8950815,1263.7235
436,6.797668,0.50068355,0.43919787,1.6150372,0.074225955,20.9768,23.599314,0.99713206,3.350636,0.5926708,9.820528,5.0563254,1109.3843
437,9.438717,0.61671305,0.4447468,1.3468158,0.12865874,24.664974,58.6338,0.99491346,3.229849,0.60760707,11.512489,4.9714837,499.955
